game_count,spread,avg_moneyline,avg_moneyline,MAX(moneyline),MIN(moneyline)
1,-27,-6434,6434,-6434,-6434
1,-19.5,-4060,4060,-4060,-4060
4,-16,-1432,1432,-1334,-1522
1,-14.5,-813,813,-813,-813
4,-14,-1044,1044,-912,-1138
2,-13.5,-776,776,-734,-818
6,-13,-780,780,-616,-931
2,-12.5,-670,670,-655,-685
3,-11.5,-617,617,-570,-707
9,-11,-586,586,-546,-662
7,-10.5,-523,523,-482,-571
17,-10,-497,497,-433,-583
16,-9.5,-440,440,-370,-511
11,-9,-438,438,-399,-476
7,-8.5,-406,406,-375,-449
2,-8,-408,408,-387,-429
18,-7.5,-352,352,-306,-402
47,-7,-321,321,-283,-359
29,-6.5,-281,281,-258,-300
27,-6,-252,252,-227,-274
9,-5.5,-243,243,-232,-254
13,-5,-231,231,-210,-250
18,-4.5,-217,217,-206,-232
25,-4,-208,208,-195,-230
41,-3.5,-184,184,-165,-205
86,-3,-160,160,-142,-189
38,-2.5,-138,138,-130,-153
13,-2,-128,128,-123,-133
17,-1.5,-125,125,-118,-135
37,-1,-116,116,-107,-129
2,0,0,0,0,0
37,1,106,106,110,-115
17,1.5,107,107,115,103
13,2,110,110,114,-105
38,2.5,119,119,134,111
86,3,140,140,165,123
41,3.5,160,160,175,144
25,4,177,177,194,168
18,4.5,183,183,195,175
13,5,196,196,219,178
9,5.5,205,205,216,196
27,6,215,215,260,193
29,6.5,237,237,251,219
47,7,266,266,296,239
18,7.5,291,291,327,257
2,8,330,330,344,316
7,8.5,330,330,359,308
11,9,353,353,381,324
16,9.5,353,353,403,305
17,10,396,396,452,352
7,10.5,414,414,450,382
9,11,456,456,500,429
3,11.5,477,477,530,449
2,12.5,509,509,521,496
6,13,575,575,664,476
2,13.5,571,571,597,544
4,14,727,727,771,649
1,14.5,605,605,605,605
4,16,929,929,948,894
1,19.5,1500,1500,1500,1500
1,27,1500,1500,1500,1500
