,spread,avg_moneyline
0,-27.0,-6434.0
1,-26.5,-5978.675107270877
2,-24.5,-4941.586181869488
3,-24.0,-4702.015907684292
4,-22.5,-4028.5579921658295
5,-21.5,-3616.026935501607
6,-21.0,-3420.3127126190657
7,-20.5,-3231.4633775229677
8,-20.0,-3049.3519433283614
9,-19.5,-2873.8514231502945
10,-19.0,-2704.834830103815
11,-18.5,-2542.175177303971
12,-18.0,-2385.74547786581
13,-17.5,-2235.4187449043798
14,-17.0,-2091.0679915347296
15,-16.5,-1952.5662308719059
16,-16.0,-1432.0
17,-15.5,-1501.4425181374381
18,-15.0,-1157.221259068719
19,-14.5,-813.0
20,-14.0,-794.5
21,-13.5,-776.0
22,-13.0,-723.0
23,-12.5,-670.0
24,-12.0,-643.5
25,-11.5,-617.0
26,-11.0,-586.0
27,-10.5,-523.0
28,-10.0,-497.0
29,-9.5,-440.0
30,-9.0,-438.0
31,-8.5,-406.0
32,-8.0,-369.88189222988467
33,-7.5,-352.0
34,-7.0,-321.0
35,-6.5,-281.0
36,-6.0,-252.0
37,-5.5,-243.0
38,-5.0,-231.0
39,-4.5,-217.0
40,-4.0,-208.0
41,-3.5,-184.0
42,-3.0,-160.0
43,-2.5,-138.0
44,-2.0,-128.0
45,-1.5,-125.0
46,-1.0,-116.0
47,0.0,-110.0
48,1.0,106.0
49,1.5,107.0
50,2.0,110.0
51,2.5,119.0
52,3.0,140.0
53,3.5,160.0
54,4.0,177.0
55,4.5,183.0
56,5.0,196.0
57,5.5,205.0
58,6.0,215.0
59,6.5,237.0
60,7.0,266.0
61,7.5,291.0
62,8.0,330.0
63,8.5,330.0
64,9.0,353.0
65,9.5,353.0
66,10.0,396.0
67,10.5,414.0
68,11.0,456.0
69,11.5,477.0
70,12.0,493.0
71,12.5,509.0
72,13.0,575.0
73,13.5,651.0
74,14.0,727.0
75,14.5,627.6312643145509
76,15.0,592.0963705349261
77,15.5,760.548185267463
78,16.0,929.0
79,16.5,792.6985987820265
80,17.0,743.8886425211106
81,17.5,740.2809599161565
82,18.0,760.7944587590923
83,18.5,781.3079576020281
84,19.0,829.1097140176237
85,19.5,1500.0
86,20.0,1246.3936544312755
87,20.5,1150.4604465290113
88,21.0,1135.2648127347422
89,21.5,1199.1659257455337
90,22.5,1263.0670387563252
91,24.0,1509.2535797253822
92,24.5,1600.2743079202837
93,26.5,2012.5362769913595
94,27.0,1500.0
